junc.id	junc.id.overlap
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1052730-1052822	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:+:1055215-1055376	chr1:+:1020119-1056116
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1220730-1223243	chr1:-:1216930-1232001
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1786450-1786934	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:-:1787053-1787325	chr1:-:1785285-1891087
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:+:2295705-2295728	chr1:+:2228318-2310213
chr1:-:6186816-6192946	chr1:-:6185019-6199595
chr1:-:6186816-6192946	chr1:-:6185019-6199595
chr1:-:6186816-6192946	chr1:-:6185019-6199595
chr1:-:6186816-6192946	chr1:-:6185019-6199595
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:8874914-8878579	chr1:-:8860999-8878686
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
chr1:-:9762768-9762876	chr1:-:9729027-9823984
